Operacao,area,ope,Objetivo_da_Operacao,Aplicacao_de_Recursos,Tempo_Em_Anos,Percentual_de_Subsidio,Operacao_Prefixada,Pendencia_de_Cobertura_do_PROAGRO,Expurgo_da_Operacao,Tipo_de_Assistencia_Tecnica,Tipo_de_Renegociacao,Amparo_da_Operacao,Operacao_Especial,Associados_Beneficiados,Agricultura_Familiar,Pessoas_Assentadas,Grupo_do_Cliente,Faixa_valores,Tipo_de_Cobertura,Pend??ncia_do_PROCERA,Total_do_FNE_Risco,Tipo_de_Tratamento,Forma_de_Credito,Tipo_de_PROAGRO,Operacao_Estruturada,Cultura_Consorciada,Garantia_LCA,Incidencia_de_IOF,Motivo_Renegociacao,Custo_Efetivo_Total,Tipo_de_Conta,Setor_de_Atividade,Subsidio,Destinacao_de_Recursos,Contra_Partida_do_BID,Semi_Arido,Finalidade_do_Financiamento,Agricultura_Irrigada,Tipo_de_Correcao,Fonte_de_Recursos,Programa_de_Credito,Categoria_do_Produtor,Tipo_de_Recurso,Garantia,Operacao_Alongada,Risco_FNE,Tipo_Lei,Operacao_Consignacao,Tem_Bonus,Tem_debito,Tem_garantia,Tem_Indexador_mensal,Tem_Indexador_diario,Tem_Credito_Evento_Semestral,Tem_Credito_Evento_Anual,Tem_Credito_Evento_Mensal,Tem_Credito_Evento_Trimestral,Tem_Debito_Evento_Semestral,Tem_Debito_Evento_Anual,Tem_Debito_Evento_Mensal,Tem_Debito_Evento_Trimestral,Tem_Debito_Evento_Diario,Tem_Desembolso_Unico,Tem_Carencia,E_Renegociada,E_Transferida,Tem_Prejuizo
1.TTBC.K2FVG00SSW.1,1,1,18,NULL,16,0,1,1,0,1,0,5,0,NULL,0,NULL,NULL,2,NULL,NULL,1,2,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,2,2,1,1,24,134,4,3,1,NULL,0,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
1.TTBC.K2FVG00SSW.2,1,2,18,1,24,0,1,1,0,1,1,NULL,0,NULL,0,NULL,NULL,6,NULL,NULL,1,2,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,134,4,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K6FVG00SSW.1,1,1,18,NULL,12,10,1,1,0,1,0,0,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,1,24,134,2,3,1,NULL,0,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1.TTBC.K6FVG00SSW.2,1,2,18,NULL,13,10,1,1,0,1,2,5,0,NULL,NULL,NULL,NULL,5,NULL,NULL,1,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,1,24,134,2,3,1,NULL,0,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.3,1,3,18,NULL,15,0,1,1,0,1,2,0,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.4,1,4,18,NULL,15,0,2,1,0,1,1,0,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.5,1,5,18,17,15,0,2,1,0,1,1,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.6,1,6,18,17,15,0,2,1,0,1,1,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.7,1,7,18,17,20,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.8,1,8,18,17,20,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.K,1,9,18,17,20,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K6FVG00SSW.10,1,10,18,17,20,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,2,1,2,24,134,2,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K8FVG00SSW.1,1,1,18,NULL,11,0,1,1,0,3,0,0,0,NULL,0,NULL,NULL,5,NULL,NULL,0,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,2,2,1,1,4,241,5,3,1,NULL,0,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.K8FVG00SSW.2,1,2,18,NULL,11,20,1,1,0,3,0,NULL,0,NULL,NULL,NULL,NULL,5,NULL,NULL,1,NULL,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,2,2,1,1,24,226,5,3,1,NULL,0,NULL,NULL,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.K8FVG00SSW.3,1,3,18,NULL,11,0,1,1,0,1,2,0,0,NULL,0,NULL,NULL,5,NULL,NULL,0,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,2,2,1,2,4,241,5,3,1,NULL,0,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K8FVG00SSW.4,1,4,18,NULL,11,20,1,1,0,1,2,0,0,NULL,0,NULL,NULL,5,NULL,NULL,1,1,NULL,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,2,2,1,1,24,226,5,3,1,NULL,0,NULL,NULL,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K8FVG00SSW.5,1,5,18,24,16,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,385,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.K8FVG00SSW.6,1,6,18,1,18,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,226,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K8FVG00SSW.7,1,7,18,1,18,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,226,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K8FVG00SSW.8,1,8,18,24,18,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,5,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,385,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.K8FVG00SSW.K,1,9,18,24,18,0,2,1,0,1,2,NULL,0,NULL,0,NULL,NULL,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,2,2,1,2,24,385,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.TTFVGFVGSSW.1,1,1,18,10,0,0,2,1,0,1,0,0,0,NULL,1,NULL,22,4,NULL,NULL,0,1,NULL,1,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,1,1,2,4,246,5,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TTFVGFVGREE.1,1,1,18,1,0,0,1,1,0,2,0,0,0,NULL,1,NULL,26,3,NULL,NULL,0,1,NULL,0,NULL,0,NULL,0,NULL,NULL,3,4,0,NULL,1,1,NULL,1,2,4,246,5,NULL,1,NULL,0,NULL,NULL,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TTFVGFVG202.1,1,1,18,1,1,0,1,1,0,2,1,NULL,0,NULL,1,NULL,26,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,1,1,2,4,246,5,3,1,NULL,0,NULL,NULL,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1
1.TTBC.TTFVGFVG202.2,1,2,18,1,6,0,1,0,0,NULL,7,NULL,0,NULL,1,NULL,26,2,3,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,0,NULL,1,1,1,1,2,99,310,5,3,3,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
1.TTBC.TTFVGFVGTTG.1,1,1,1,10,2,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,2,1,2,18,298,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
1.TTBC.TT1FVG00SSW.1,1,1,1,1,8,0,2,1,0,1,0,NULL,0,NULL,0,NULL,2,5,NULL,NULL,0,NULL,3,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,2,1,2,24,226,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT1FVG00REE.1,1,1,1,1,2,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,NULL,3,0,NULL,0,NULL,0,NULL,NULL,15,4,0,NULL,1,1,2,1,2,18,298,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT1FVG00TTG.1,1,1,1,1,0,0,2,1,0,1,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,NULL,1,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,1,1,2,4,297,5,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT2FVG00SSW.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT2FVG00REE.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT2FVG00TTG.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT2FVG00RWW.1,1,1,1,2,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,3,1,NULL,0,NULL,0,NULL,NULL,6,4,0,NULL,1,1,1,1,2,4,297,5,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT3FVG00SSW.1,1,1,1,14,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,3,1,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,1,1,2,4,297,NULL,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT3FVG00REE.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT3FVG00TTG.1,1,1,1,14,2,0,2,1,0,1,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,3,1,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,1,1,2,4,297,5,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT3FVG00RWW.1,1,1,1,21,0,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT3FVG00501.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT3FVG00601.1,1,1,18,14,0,0,2,1,0,1,0,NULL,0,NULL,0,NULL,2,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,2,NULL,1,1,1,1,2,24,226,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT3FVG00701.1,1,1,1,21,1,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,2,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00SSW.1,1,1,32,21,5,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,369,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT4FVG00REE.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,1,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00TTG.1,1,1,1,14,2,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,22,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,1,1,2,24,369,5,3,1,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT4FVG00RWW.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,1,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00501.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,21,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,1,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00601.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,25,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,400,5,3,3,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00701.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,21,4,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,400,5,3,3,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00801.1,1,1,1,21,1,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,25,3,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,1,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG00901.1,1,1,1,21,1,0,2,1,0,3,0,NULL,0,NULL,1,NULL,25,3,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,400,5,3,3,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG01001.1,1,1,32,21,9,0,2,1,0,NULL,0,NULL,0,NULL,1,NULL,22,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,369,5,3,1,NULL,0,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.TTBC.TT4FVG01SSW.1,1,1,1,21,1,0,2,1,0,3,0,NULL,0,NULL,1,NULL,25,3,NULL,NULL,1,1,3,0,NULL,0,NULL,0,NULL,NULL,6,4,1,NULL,1,1,2,1,2,24,400,5,3,3,NULL,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1.TTBC.TT4FVG01REE.1,1,1,1,21,2,0,2,1,0,1,0,NULL,0,NULL,1,NULL,21,4,NULL,NULL,0,1,3,0,NULL,0,NULL,0,NULL,NULL,15,4,1,NULL,1,1,2,1,2,18,373,5,3,1,NULL,0,NULL,NULL,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
